start_station_name,trip_count
11 Ave & W 41 St,1
2 Ave & E 29 St,1
W 24 St & 7 Ave,1
Underhill Ave & Lincoln Pl,1
Morgan Ave & Lombardy St,1
MacDougal St & Prince St,1
Greenwich St & Perry St,1
Grand St & Greene St,1
Graham Ave & Withers St,1
Flushing Ave & Vanderbilt Ave,1
Engert Ave & McGuinness Blvd,1
E 60 St & York Ave,1
E 56 St & Madison Ave,1
E 51 St & 2 Ave,1
E 39 St & 2 Ave,1
E 33 St & 1 Ave,1
Carlton Ave & Park Ave,1
Broadway & W 53 St,1
34 Ave & 38 St,1
3 Ave & E 62 St,1
21 St & 23 Ave,1
West End Ave & W 60 St,1
